date,c1,c2,c3,c4,c5,c6,c7,c8,h1
21Jun2021,1,2,1,4,1,0,0,3,2
22Jun2021,1,2,1,4,1,0,0,3,2
23Jun2021,1,2,1,4,1,0,0,3,2
24Jun2021,1,2,1,4,1,0,0,3,2
25Jun2021,1,2,1,4,1,0,0,3,2
26Jun2021,1,2,1,4,1,0,0,3,2
27Jun2021,1,2,1,4,1,0,0,3,2
28Jun2021,1,2,1,4,1,0,0,3,2
29Jun2021,1,2,1,4,1,0,0,3,2
30Jun2021,1,2,1,4,1,0,0,3,2
01Jul2021,1,2,1,4,1,0,0,3,2
02Jul2021,1,2,1,4,1,0,0,3,2
03Jul2021,1,2,1,4,1,0,0,3,2
04Jul2021,1,2,1,4,1,0,0,3,2
05Jul2021,1,2,1,4,1,0,0,3,2
06Jul2021,1,2,1,4,1,0,0,3,2
07Jul2021,1,2,1,4,1,0,0,3,2
08Jul2021,1,2,1,4,1,0,0,3,2
09Jul2021,1,2,1,4,1,0,0,3,2
